task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
103	44/5ac24d	45289	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2025-07-30 12:51:55.936	1.5s	1s	115.8%	7.8 MB	222.2 MB	7.3 MB	104.1 KB
101	e6/2718be	45656	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2025-07-30 12:51:57.445	1.1s	1s	113.6%	7.5 MB	222.2 MB	4.7 MB	104 KB
100	45/72e654	45875	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2025-07-30 12:51:58.554	904ms	1s	115.9%	7.1 MB	222.2 MB	7.5 MB	94.2 KB
91	15/2f1b83	46094	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2025-07-30 12:51:59.464	858ms	1s	114.8%	8 MB	222.2 MB	5.2 MB	138.4 KB
104	ce/9ee73a	45213	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2025-07-30 12:51:55.832	5.8s	5s	116.8%	7.8 MB	222.2 MB	32.9 MB	98.7 KB
88	84/b692e8	46522	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5181310)	COMPLETED	0	2025-07-30 12:52:01.645	1s	1s	364.7%	5.9 MB	13.6 MB	32.9 MB	342.1 KB
80	15/c785b8	46694	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5743893)	COMPLETED	0	2025-07-30 12:52:15.525	8.1s	8s	223.3%	351.3 MB	9.3 GB	57.3 MB	853 KB
77	c7/21cfbd	46690	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5405022)	COMPLETED	0	2025-07-30 12:52:15.519	8.3s	8s	222.4%	352.8 MB	9.3 GB	60.1 MB	844.3 KB
72	7e/e18696	48808	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SRR13500958)	COMPLETED	0	2025-07-30 12:52:23.609	8.1s	8s	224.3%	321.2 MB	9.3 GB	57.9 MB	887.3 KB
86	38/1e6009	48884	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5556343)	COMPLETED	0	2025-07-30 12:52:23.793	10s	9s	202.4%	345.4 MB	9.3 GB	60 MB	854.8 KB
106	42/e11d60	51290	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5181310)	COMPLETED	0	2025-07-30 12:52:33.800	3.9s	3s	100.6%	82 MB	1.1 GB	22.7 MB	6.1 KB
87	d1/d1458a	51948	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5556343)	COMPLETED	0	2025-07-30 12:52:37.660	3.4s	3s	107.0%	63.6 MB	1 GB	22.7 MB	6.1 KB
75	49/a71920	52481	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SRR13500958)	COMPLETED	0	2025-07-30 12:52:41.051	3.4s	3s	107.8%	63.2 MB	1 GB	22.7 MB	4.4 KB
79	66/274fc9	52921	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5405022)	COMPLETED	0	2025-07-30 12:52:44.445	3.6s	3s	107.1%	62.9 MB	1 GB	22.7 MB	6.2 KB
90	18/5ecba1	50628	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5181310)	COMPLETED	0	2025-07-30 12:52:31.713	17.9s	17s	153.8%	403.8 MB	9.3 GB	85.5 MB	858.1 KB
83	20/344c35	53309	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5743893)	COMPLETED	0	2025-07-30 12:52:48.016	2.7s	2s	101.9%	63.4 MB	1 GB	22.7 MB	5.2 KB
110	72/e9cd96	53798	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5556343)	COMPLETED	0	2025-07-30 12:52:56.895	750ms	0ms	212.5%	4 MB	51 MB	90.7 KB	5.6 KB
112	14/b0385e	53973	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5405022)	COMPLETED	0	2025-07-30 12:52:57.654	453ms	1s	370.5%	4.1 MB	51.2 MB	90.9 KB	5.8 KB
113	ee/b88936	54163	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5743893)	COMPLETED	0	2025-07-30 12:52:58.111	432ms	0ms	364.1%	4.1 MB	51.2 MB	89.3 KB	4.9 KB
109	c9/84d74f	54336	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5181310)	COMPLETED	0	2025-07-30 12:52:58.548	436ms	0ms	362.6%	4.2 MB	51.2 MB	90.6 KB	5.7 KB
111	2f/dfed90	54511	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (SRR13500958)	COMPLETED	0	2025-07-30 12:52:58.989	427ms	0ms	348.6%	4 MB	51.2 MB	88 KB	4.3 KB
114	61/c10cbb	54686	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5556343)	COMPLETED	0	2025-07-30 12:52:59.421	408ms	0ms	296.6%	4.1 MB	51.2 MB	84.3 KB	1.8 KB
118	d4/914989	54858	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5405022)	COMPLETED	0	2025-07-30 12:52:59.833	420ms	0ms	320.0%	4.2 MB	51.2 MB	84.4 KB	1.9 KB
120	e6/6b6a71	55032	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5743893)	COMPLETED	0	2025-07-30 12:53:00.258	399ms	0ms	281.9%	4.2 MB	51.2 MB	84.1 KB	1.7 KB
116	5c/087fd8	55205	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5556343)	COMPLETED	0	2025-07-30 12:53:00.664	5.8s	6s	71.6%	144.1 MB	15.5 GB	20.7 MB	168.2 KB
119	21/a50cd5	55790	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5405022)	COMPLETED	0	2025-07-30 12:53:06.455	4.2s	4s	91.9%	123.1 MB	15.5 GB	20.7 MB	206.5 KB
124	9f/db0b84	56240	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5181310)	COMPLETED	0	2025-07-30 12:53:10.682	409ms	1s	311.1%	4 MB	51 MB	84.6 KB	2 KB
128	c3/eb88dd	56413	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (SRR13500958)	COMPLETED	0	2025-07-30 12:53:11.096	445ms	0ms	357.4%	4.8 MB	51.4 MB	83.9 KB	1.6 KB
122	e6/e29719	56587	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5743893)	COMPLETED	0	2025-07-30 12:53:11.546	4.1s	4s	95.5%	140.2 MB	15.5 GB	20.7 MB	146.5 KB
123	87/fd5269	57042	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5181310)	COMPLETED	0	2025-07-30 12:53:15.645	4.2s	4s	89.5%	121.8 MB	15.5 GB	20.7 MB	178.1 KB
126	a0/f2628c	57498	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (SRR13500958)	COMPLETED	0	2025-07-30 12:53:19.827	3.3s	3s	83.6%	125.4 MB	15.5 GB	20.7 MB	106.2 KB
115	7e/1400c9	57951	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2025-07-30 12:53:23.147	368ms	0ms	47.6%	5.6 MB	11.7 MB	71.5 KB	3.1 KB
125	c5/b9d8c2	57952	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2025-07-30 12:53:23.152	394ms	0ms	50.6%	5.2 MB	11.7 MB	71.7 KB	3.1 KB
127	cb/276c03	58262	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2025-07-30 12:53:23.520	344ms	0ms	49.2%	5.5 MB	11.7 MB	71.4 KB	3.1 KB
117	03/6ae895	58284	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2025-07-30 12:53:23.552	341ms	0ms	58.2%	5.6 MB	11.7 MB	71.6 KB	3.1 KB
121	66/bcee2f	58578	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2025-07-30 12:53:23.870	357ms	0ms	59.7%	5.1 MB	11.7 MB	71.4 KB	3.1 KB
131	48/befc40	58600	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2025-07-30 12:53:23.902	355ms	0ms	59.7%	5.8 MB	11.7 MB	71.7 KB	3.1 KB
129	70/684fe5	58892	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2025-07-30 12:53:24.239	344ms	0ms	45.1%	5.4 MB	11.7 MB	71.6 KB	3.1 KB
133	f4/74d7da	58914	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2025-07-30 12:53:24.261	348ms	0ms	76.9%	5.2 MB	11.7 MB	71.5 KB	3.1 KB
135	39/8cb700	59210	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5556343)	COMPLETED	0	2025-07-30 12:53:24.590	332ms	0ms	81.4%	5.6 MB	11.6 MB	98.8 KB	7.1 KB
136	f6/29e947	59241	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5405022)	COMPLETED	0	2025-07-30 12:53:24.642	329ms	0ms	70.6%	5.6 MB	11.6 MB	99.7 KB	7.3 KB
137	3f/158806	59510	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2025-07-30 12:53:24.928	340ms	0ms	50.8%	5.5 MB	11.7 MB	71.8 KB	3.1 KB
139	8e/647878	59567	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2025-07-30 12:53:24.978	328ms	0ms	71.4%	5.5 MB	11.7 MB	71.4 KB	3.1 KB
141	16/6c4fc3	59843	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5743893)	COMPLETED	0	2025-07-30 12:53:25.275	352ms	0ms	39.0%	5.4 MB	11.6 MB	95 KB	6.5 KB
140	50/f99a51	59877	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SRR13500958)	COMPLETED	0	2025-07-30 12:53:25.311	3.8s	4s	101.0%	12.4 MB	23.1 MB	57.9 MB	51.2 MB
130	35/e86253	60139	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5556343)	COMPLETED	0	2025-07-30 12:53:25.634	7.1s	6s	124.1%	22.2 MB	34.1 MB	115.5 MB	106.7 MB
132	4a/ec7f5a	61622	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5405022)	COMPLETED	0	2025-07-30 12:53:32.779	3.2s	2s	133.8%	14 MB	24.6 MB	62.1 MB	53.1 MB
134	6c/dac570	62374	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5743893)	COMPLETED	0	2025-07-30 12:53:36.006	3.5s	3s	134.1%	19.1 MB	30 MB	74.1 MB	68 MB
142	3f/5f168d	63128	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5181310)	COMPLETED	0	2025-07-30 12:53:39.494	391ms	0ms	51.1%	5.5 MB	11.6 MB	100.7 KB	7.5 KB
143	fa/22cc79	63395	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SRR13500958)	COMPLETED	0	2025-07-30 12:53:39.890	359ms	0ms	65.8%	5.5 MB	11.6 MB	87.4 KB	5.8 KB
145	60/306494	63553	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	COMPLETED	0	2025-07-30 12:53:40.254	411ms	0ms	214.4%	4 MB	51.2 MB	84.1 KB	3.8 KB
146	3f/1d865a	63725	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5181310)	COMPLETED	0	2025-07-30 12:53:40.670	408ms	1s	178.6%	4.6 MB	51.4 MB	84.4 KB	3.4 KB
148	30/8cfaa9	64008	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (SRR13500958)	COMPLETED	0	2025-07-30 12:53:41.084	417ms	0ms	245.0%	4.1 MB	51.2 MB	83.7 KB	3.5 KB
150	8d/42c7bb	64184	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	COMPLETED	0	2025-07-30 12:53:41.507	399ms	0ms	168.0%	4.6 MB	51.4 MB	84.2 KB	3.9 KB
153	96/c069ca	64359	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	COMPLETED	0	2025-07-30 12:53:41.915	407ms	0ms	239.3%	4 MB	51.2 MB	83.8 KB	3.7 KB
155	ad/70e9e0	64533	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2025-07-30 12:53:42.327	371ms	0ms	44.0%	5.4 MB	11.7 MB	74.7 KB	3.2 KB
156	ac/11d832	64692	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2025-07-30 12:53:42.703	337ms	1s	56.3%	5.5 MB	11.7 MB	74.9 KB	3.2 KB
159	f5/f4582b	64854	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2025-07-30 12:53:43.045	342ms	0ms	75.0%	5.4 MB	11.7 MB	74.1 KB	3.2 KB
160	01/1f7cc0	65012	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (SRR13500958)	COMPLETED	0	2025-07-30 12:53:43.393	1.3s	0ms	124.1%	4 MB	26.3 MB	51.5 KB	433 B
161	cb/ddc4f0	65176	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5556343)	COMPLETED	0	2025-07-30 12:53:44.725	1.3s	1s	104.9%	4.5 MB	26.3 MB	68.1 KB	498 B
162	80/e79d4a	65461	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5405022)	COMPLETED	0	2025-07-30 12:53:46.060	1.3s	0ms	87.5%	4.4 MB	26.3 MB	67.7 KB	501 B
163	d3/472629	65626	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5743893)	COMPLETED	0	2025-07-30 12:53:47.380	1.3s	0ms	98.5%	4.5 MB	26.3 MB	67.7 KB	490 B
165	4d/11adfe	65788	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2025-07-30 12:53:48.694	352ms	1s	42.7%	5.6 MB	11.7 MB	75.1 KB	3.2 KB
167	79/fede49	65947	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2025-07-30 12:53:49.052	367ms	0ms	65.8%	5.8 MB	11.7 MB	73.4 KB	3.2 KB
173	2d/d9e4ce	66107	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	COMPLETED	0	2025-07-30 12:53:49.426	414ms	0ms	196.1%	4.2 MB	51.2 MB	90.1 KB	3.9 KB
174	7a/a267c6	66279	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	COMPLETED	0	2025-07-30 12:53:49.848	398ms	0ms	194.2%	4.6 MB	51.4 MB	90.4 KB	4 KB
175	d5/a0eb71	66455	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	COMPLETED	0	2025-07-30 12:53:50.254	404ms	0ms	180.4%	4.2 MB	51.4 MB	89.1 KB	3.8 KB
176	2f/6c1247	66628	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (SRR13500958)	COMPLETED	0	2025-07-30 12:53:50.664	1.4s	0ms	76.2%	4.4 MB	26.3 MB	76.5 KB	30.1 KB
177	00/4924ac	66898	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5556343)	COMPLETED	0	2025-07-30 12:53:52.020	626ms	0ms	87.5%	4.1 MB	26.3 MB	76.6 KB	30.1 KB
178	12/b490d7	67062	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5405022)	COMPLETED	0	2025-07-30 12:53:52.653	1.3s	0ms	103.2%	4.5 MB	26.3 MB	76.6 KB	30.1 KB
180	65/c09d50	67225	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5181310)	COMPLETED	0	2025-07-30 12:53:53.992	388ms	0ms	189.7%	4.5 MB	51.4 MB	90.5 KB	3.5 KB
179	0a/a543ae	67399	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5743893)	COMPLETED	0	2025-07-30 12:53:54.385	1.3s	0ms	106.7%	4.6 MB	26.3 MB	76.6 KB	30.1 KB
181	e8/717b1a	67667	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SRR13500958)	COMPLETED	0	2025-07-30 12:53:55.708	404ms	1s	196.2%	4.2 MB	51.4 MB	87.7 KB	3.6 KB
138	c0/ed7ed7	60907	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5181310)	COMPLETED	0	2025-07-30 12:53:29.165	48.6s	48s	110.4%	43.8 MB	55.2 MB	560.9 MB	526.6 MB
144	0f/d2e1c7	68297	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5556343)	COMPLETED	0	2025-07-30 12:54:17.756	373ms	1s	172.7%	4 MB	51 MB	84.1 KB	2.1 KB
147	94/73ee2c	68473	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5181310)	COMPLETED	0	2025-07-30 12:54:18.134	388ms	0ms	181.8%	4 MB	51.4 MB	84.4 KB	2.2 KB
149	7d/c799ec	68647	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (SRR13500958)	COMPLETED	0	2025-07-30 12:54:18.527	384ms	0ms	170.2%	4.4 MB	51.4 MB	83.7 KB	1.6 KB
151	35/66c9d1	68820	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5405022)	COMPLETED	0	2025-07-30 12:54:18.916	378ms	0ms	169.2%	3.9 MB	51.2 MB	84.2 KB	2.2 KB
152	a8/6fc2c6	68995	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5743893)	COMPLETED	0	2025-07-30 12:54:19.299	367ms	0ms	187.2%	4 MB	51 MB	83.9 KB	1.8 KB
182	af/70d679	69169	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SRR13500958)	COMPLETED	0	2025-07-30 12:54:19.670	387ms	1s	240.0%	4.1 MB	51 MB	147.2 KB	60.2 KB
183	7b/caad90	69346	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5556343)	COMPLETED	0	2025-07-30 12:54:20.062	381ms	0ms	202.1%	3.9 MB	51.2 MB	147.5 KB	60.1 KB
184	6a/79fa88	69524	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5405022)	COMPLETED	0	2025-07-30 12:54:20.448	402ms	0ms	276.6%	4 MB	51.2 MB	147.7 KB	60.2 KB
185	a6/314457	69701	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5743893)	COMPLETED	0	2025-07-30 12:54:20.855	374ms	0ms	195.7%	4.1 MB	51.2 MB	147.3 KB	60.2 KB
107	af/25751d	69877	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_GENOME	COMPLETED	0	2025-07-30 12:54:21.235	5.5s	4s	109.9%	321.7 MB	1.4 GB	24.5 MB	129.8 KB
108	a2/36fbfc	70298	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_AMPLICON	COMPLETED	0	2025-07-30 12:54:26.731	7.3s	6s	116.6%	334.7 MB	1.5 GB	24.6 MB	244.3 KB
187	a3/de7142	70781	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SRR13500958)	COMPLETED	0	2025-07-30 12:54:34.083	340ms	19ms	94.1%	0	0	125 KB	31.1 KB
188	a3/6cce06	71068	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5556343)	COMPLETED	0	2025-07-30 12:54:34.428	316ms	16ms	103.2%	0	0	125 KB	31.1 KB
189	a0/2fb9a6	71201	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5405022)	COMPLETED	0	2025-07-30 12:54:34.748	344ms	18ms	114.3%	0	0	125 KB	31.1 KB
186	89/2b2e31	70780	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5181310)	COMPLETED	0	2025-07-30 12:54:34.078	1.3s	0ms	85.7%	4.2 MB	26.3 MB	62.9 KB	453 B
190	63/b5cfb1	71333	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5743893)	COMPLETED	0	2025-07-30 12:54:35.097	326ms	16ms	97.0%	0	0	125 KB	31.1 KB
191	ae/c5b4f1	71472	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (SRR13500958.consensus.fa)	COMPLETED	0	2025-07-30 12:54:35.428	6.9s	6s	107.1%	384.4 MB	1.5 GB	22.9 MB	2.6 MB
192	c0/af2dd1	71939	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5556343.consensus.fa)	COMPLETED	0	2025-07-30 12:54:42.373	6.9s	6s	107.7%	384.1 MB	1.5 GB	23 MB	2.6 MB
193	f3/8b6e16	72404	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5405022.consensus.fa)	COMPLETED	0	2025-07-30 12:54:49.259	6.3s	6s	108.1%	384.6 MB	1.5 GB	23 MB	2.6 MB
195	c9/850718	72870	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5743893.consensus.fa)	COMPLETED	0	2025-07-30 12:54:55.527	6.7s	6s	109.6%	394.1 MB	1.5 GB	22.9 MB	2.6 MB
